SITE_CODE,PROJ_CODE,TITLE,SUB_TYPE,STAGE,PROJECT_TITLE,LONGITUDE,LATITUDE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,LGA_NAME,DISTRICT_NAME,TECTONIC_UNIT
S0000012,J00009,Baneygo,Openpit,Operating,Duketon / Regis Resources,122.3125,-27.963344,Au Ag,Precious metal,GOLD,"LAVERTON, SHIRE OF",MT. MARGARET,Eastern Goldfields Superterrane
S0000030,J04143,Beatons Creek - Golden Crown,Openpit,Operating,Beatons Creek JV,120.101598,-21.870333,Au Ag As Cu Bi Sb,Precious metal,GOLD,"EAST PILBARA, SHIRE OF",NULLAGINE,Northeast Pilbara Sub-basin
S0000033,J00017,Big Bell Underground,Decline,Operating,Cue Gold - Central Murchison,117.65535700000001,-27.318659000000004,Au Ag,Precious metal,GOLD,"CUE, SHIRE OF",CUE,Youanmi Terrane
S0000045,J00017,Aladdin Open Pit,Openpit,Operating,Cue Gold - Central Murchison,118.34718799999999,-26.86947,Au Ag,Precious metal,GOLD,"MEEKATHARRA, SHIRE OF",MEEKATHARRA,Youanmi Terrane
S0000046,J00017,Bluebird - Bluebird South,Openpit,Operating,Cue Gold - Central Murchison,118.425102,-26.716248999999998,Au Ag,Precious metal,GOLD,"MEEKATHARRA, SHIRE OF",MEEKATHARRA,Youanmi Terrane
S0000049,J00017,Five Mile Well,Openpit,Operating,Cue Gold - Central Murchison,118.54088,-26.529259000000003,Au Ag,Precious metal,GOLD,"MEEKATHARRA, SHIRE OF",MEEKATHARRA,Youanmi Terrane
S0000053,J02851,Boorara Open Pit - Southern Stockworks,Openpit,Operating,Boorara / Horizon,121.644084,-30.809293,Au Ag,Precious metal,GOLD,"KALGOORLIE-BOULDER, CITY OF",EAST COOLGARDIE,Eastern Goldfields Superterrane
S0000138,J05659,Cosmopolitan Tailings,Tailings storage facility,Operating,Kookynie / Nex Metals,121.4954,-29.337562,Au,Precious metal,GOLD,"MENZIES, SHIRE OF",NIAGARA,Eastern Goldfields Superterrane
S0000181,J00102,Morrison,Openpit,Operating,Golden Mile / KCGM,121.508466,-30.789484,Au Ag,Precious metal,GOLD,"KALGOORLIE-BOULDER, CITY OF",EAST COOLGARDIE,Eastern Goldfields Superterrane
S0000198,J00109,Yarlarweelor North & South,Openpit,Operating,Fortnum,118.360354,-25.343679,Au Ag,Precious metal,GOLD,"MEEKATHARRA, SHIRE OF",PEAK HILL M.F.,Bryah Basin
S0000258,J04956,Goongarrie Lady,Openpit,Operating,Goongarrie Lady,121.184481,-30.081353999999997,Au Ag,Precious metal,GOLD,"MENZIES, SHIRE OF",MENZIES,Eastern Goldfields Superterrane
S0000263,J04873,Paris,Openpit,Operating,GBF Paris ,121.975881,-31.588763,Au Ag,Precious metal,GOLD,"COOLGARDIE, SHIRE OF",COOLGARDIE,Eastern Goldfields Superterrane
S0000275,J01884,Hawkins Find,Openpit,Operating,Hawkins Find,121.02196,-30.498387,Au Ag,Precious metal,GOLD,"COOLGARDIE, SHIRE OF",KUNANALLING,Eastern Goldfields Superterrane
S0000350,J05577,Lord Byron Southeast,Openpit,Operating,Jasper Hills ,123.043943,-29.131214,Au Ag,Precious metal,GOLD,"MENZIES, SHIRE OF",MT. MORGANS,Burtville Terrane
S0000357,J00256,Jupiter - Joanne - Doublejay,Openpit,Operating,Mt Morgans,122.21928700000001,-28.807189,Au Ag,Precious metal,GOLD,"LAVERTON, SHIRE OF",MT. MORGANS,Eastern Goldfields Superterrane
S0000379,J00181,Last Chance East,Unspecified,Operating,Kanowna - Golden Valley,121.601997,-30.594219,Au,Precious metal,GOLD,"KALGOORLIE-BOULDER, CITY OF",KANOWNA,Eastern Goldfields Superterrane
S0000389,J00184,Harrys Hill,Openpit,Operating,Aldiss - Karonie,122.55802800000001,-31.045011,Au Ag,Precious metal,GOLD,"KALGOORLIE-BOULDER, CITY OF",KURNALPI,Eastern Goldfields Superterrane
S0000462,J00218,Lloyd George - Gibraltar,Openpit,Operating,Gibraltar South / Torian,120.96745200000001,-31.04095,Au Ag,Precious metal,GOLD,"COOLGARDIE, SHIRE OF",COOLGARDIE,Eastern Goldfields Superterrane
