PROJ_CODE,PROJ_NAME,PRI_P_COM,RES_QTY,TOT_MIN_RES_QUANTITY,RES_CON,TOT_MIN_RES_CONT_COM_UNIT,RES_ALT_CONT_COM,TOT_MIN_RES_ALT_CONT_COM_UNIT
J05288,8 Mile Dam,Gold,7.014346000000001,million tonnes,9763.969631999998,kilotonne,313918.9174,ounce (troy)
J01022,Abednego West,Gold,0.07,million tonnes,147.0,kilotonne,4726.159809000001,ounce (troy)
J00545,Abra - Mulgul,Lead,34.4,million tonnes,2475.6,kilotonne,,
J03432,Abydos,Iron,15.5,million tonnes,8.8325,kilotonne,,
J00744,Admiral Bay,Zinc,170.0,million tonnes,6970.0,kilotonne,,
J00098,Agnew - Emu,Gold,19.879,million tonnes,106195.46,kilotonne,3414263.367,ounce (troy)
J01130,Ajana,Lead,0.394419,million tonnes,25.415222,kilotonne,,
J00002,Albury Heath,Gold,0.528,million tonnes,1103.52,kilotonne,35478.99233,ounce (troy)
J00184,Aldiss - Karonie,Gold,9.342,million tonnes,18323.3,kilotonne,589107.7825,ounce (troy)
J01048,Alicia,Gold,0.038,million tonnes,147.73,kilotonne,4749.629854,ounce (troy)
J01032,Anaconda,Zinc,0.8768309999999999,million tonnes,17.273571,kilotonne,,
J05742,Andover,Nickel,4.7,million tonnes,52.09,kilotonne,,
J00441,Angelo River Iron Ore,Iron,139.7,million tonnes,83.9746,kilotonne,,
J00424,Anglo Saxon - Trouser Legs,Gold,4.917,million tonnes,13936.7,kilotonne,448075.3157,ounce (troy)
J00758,Ant Hill - Sunday Hill,Manganese,8.1,million tonnes,1668.3,kilotonne,,
J04003,Anthill ,Gold,1.42,million tonnes,2442.1,kilotonne,78515.33925,ounce (troy)
J03406,Aphrodite,Gold,25.506,million tonnes,50965.8,kilotonne,1638588.541,ounce (troy)
J02118,Apollo Hill,Gold,76.23,million tonnes,45565.7,kilotonne,1464971.293,ounce (troy)
J02216,Ashburton / Kalamazoo,Gold,20.789,million tonnes,51479.6,kilotonne,1655107.595,ounce (troy)
J03903,Athenia,Gold,0.0493,million tonnes,72.964,kilotonne,2345.847104,ounce (troy)
J04877,Austin - Quinns Base Metals,Copper,1.484422,million tonnes,15.176214000000002,kilotonne,,
J00461,Avalon,Nickel,169.8,million tonnes,1403.02,kilotonne,,
J05474,Baden Powell / Horizon,Gold,0.595,million tonnes,714.0,kilotonne,22955.63336,ounce (troy)
J01377,Balfour South - Woodie Woodie / ConsMin,Manganese,21.6,million tonnes,4190.4,kilotonne,,
J01536,Bali,Copper,0.09,million tonnes,1.17,kilotonne,,
J03378,Balmoral South / Australasian Resources,Iron,1605.0,million tonnes,500.165,kilotonne,,
J00008,Bamboo Creek Gold,Gold,16.701,million tonnes,16340.1,kilotonne,525346.4211,ounce (troy)
J03486,Bamboo Creek Nickel,Nickel,1.025,million tonnes,8.2,kilotonne,,
J04199,Bannockburn / Northern Star,Gold,15.06,million tonnes,26070.0,kilotonne,838169.9743,ounce (troy)
J03392,Barlee,Gold,0.678419,million tonnes,2137.01985,kilotonne,68706.78452999999,ounce (troy)
J00013,Barrambie Gold,Gold,0.14,million tonnes,310.8,kilotonne,9992.452168000002,ounce (troy)
J04801,Battler / IMD,Gold,0.452,million tonnes,1293.2,kilotonne,41577.34602,ounce (troy)
J04143,Beatons Creek JV,Gold,10.94,million tonnes,27852.0,kilotonne,895462.6054,ounce (troy)
J00016,Bellchambers,Gold,0.198,million tonnes,250.12,kilotonne,8041.5448400000005,ounce (troy)
J04770,Bellevue,Gold,9.85,million tonnes,97389.0,kilotonne,3131129.1,ounce (troy)
J05856,Ben Hur,Gold,16.070999999999998,million tonnes,21335.04,kilotonne,685937.4733,ounce (troy)
J05332,Beyondie Iron / AIC,Iron,714.0,million tonnes,195.636,kilotonne,,
J00019,Binduli,Gold,74.86,million tonnes,67628.4,kilotonne,2174303.578,ounce (troy)
J03230,Binti Binti Nickel,Nickel,2.8,million tonnes,25.48,kilotonne,,
J04148,Black Jack / Duffy,Gold,0.255846,million tonnes,500.1243,kilotonne,16079.369840000001,ounce (troy)
J01290,Blue Bar,Gold,0.091,million tonnes,235.84,kilotonne,7582.432172,ounce (troy)
J00126,Blue Spec / Novo,Gold,0.677,million tonnes,7389.7,kilotonne,237584.3751,ounce (troy)
J03502,Bluebush Line - Republican Hill,Nickel,0.65,million tonnes,19.788,kilotonne,,
J00026,Boddington Gold,Gold,280.0,million tonnes,150106.0,kilotonne,4826020.029,ounce (troy)
J00453,Bonnie Rock,Zinc,0.45,million tonnes,5.625,kilotonne,,
J01289,Boomerang Tailings,Gold,0.015,million tonnes,30.0,kilotonne,964.5224099999999,ounce (troy)
J02851,Boorara / Horizon,Gold,11.03,million tonnes,13931.3,kilotonne,447901.7017,ounce (troy)
J00028,Bottle Creek,Gold,6.8685,million tonnes,11517.565,kilotonne,370298.3184,ounce (troy)
J00233,Brightstar / Stone,Gold,3.3339999999999996,million tonnes,6439.2,kilotonne,207025.0901,ounce (troy)
J05748,British Hill / IMD,Gold,1.921,million tonnes,3269.5,kilotonne,105116.8673,ounce (troy)
J00924,British King,Gold,0.1603,million tonnes,817.53,kilotonne,26284.20019,ounce (troy)
J01879,Broads Dam Dumps,Gold,0.33,million tonnes,348.0,kilotonne,11188.45996,ounce (troy)
J00023,Broads Dam South - Blue Funnel,Gold,0.37,million tonnes,1046.8,kilotonne,33655.40196,ounce (troy)
J03931,Brockman 4 Area / Rio Tinto,Iron,24900.8,million tonnes,14880.7162,kilotonne,,
J00361,Bryah Basin - Wilgeena / Alchemy,Gold,2.235,million tonnes,3514.5,kilotonne,112993.8003,ounce (troy)
J05377,Bryah Basin Manganese JV,Manganese,1.1909999999999998,million tonnes,256.64099999999996,kilotonne,,
J03830,Buckland - Bungaroo South,Iron,283.2,million tonnes,160.0922,kilotonne,,
J04985,Bulgera Creek,Gold,5.08,million tonnes,6216.2,kilotonne,199855.4735,ounce (troy)
J00033,Bullabulling,Gold,95.37,million tonnes,99783.9,kilotonne,3208126.9239999996,ounce (troy)
J01519,Bullabulling North,Gold,2.555,million tonnes,4277.0,kilotonne,137508.7449,ounce (troy)
J01369,Bullfinch North - Mayfield,Iron,6.6,million tonnes,3.5508,kilotonne,,
J01897,Bulong - Jarvis,Gold,0.179,million tonnes,554.9,kilotonne,17840.44951,ounce (troy)
J00037,Bulong - Taurus Eluvials,Gold,0.5,million tonnes,790.0,kilotonne,25399.09013,ounce (troy)
J03557,Bulong South Gold,Gold,0.22699999999999998,million tonnes,1014.9,kilotonne,32629.793130000002,ounce (troy)
J05074,Bundarra / Bligh,Gold,9.684,million tonnes,20709.6,kilotonne,665829.1101,ounce (troy)
J00069,Burbanks / REG,Gold,3.4368,million tonnes,8701.57,kilotonne,279761.9756,ounce (troy)
J04807,Bustler Well / Macdonald,Gold,0.015,million tonnes,111.45,kilotonne,3583.200753,ounce (troy)
J05455,Butcher Well,Gold,2.68,million tonnes,10114.3,kilotonne,325182.3004,ounce (troy)
J00733,Butcherbird - Yanneri Ridge,Manganese,262.791,million tonnes,26129.64,kilotonne,,
J03878,Byro Iron,Iron,22.8,million tonnes,5.8368,kilotonne,,
J01490,Cadonia,Gold,0.004,million tonnes,46.8,kilotonne,1504.65496,ounce (troy)
J02501,Caledonian - Summit,Gold,0.023,million tonnes,94.3,kilotonne,3031.815442,ounce (troy)
J02782,Camelback Bore Nickel,Nickel,4.65,million tonnes,45.57,kilotonne,,
J03465,Canegrass,Nickel,29.6,million tonnes,209.28,kilotonne,,
J03113,Cape Lambert Magnetite,Iron,1915.0,million tonnes,586.943,kilotonne,,
J03961,Caravel Copper - Calingiri Copper–Moly,Copper,1180.5,million tonnes,2836.49,kilotonne,,
J03423,Carina,Iron,45.3,million tonnes,25.7432,kilotonne,,
J01138,Carlingup - Nindilbillup  ,Nickel,29.72,million tonnes,174.3858,kilotonne,,
J02456,Carlow Castle / Artemis,Gold,8.74,million tonnes,11809.0,kilotonne,379668.1713,ounce (troy)
J01238,Carnage,Gold,0.005,million tonnes,70.15,kilotonne,2255.374902,ounce (troy)
J02715,Carnilya Hill,Nickel,0.10400000000000001,million tonnes,2.946,kilotonne,,
J02241,Carosue Dam - Khartoum,Gold,65.719,million tonnes,137727.1,kilotonne,4428029.147,ounce (troy)
J00477,Carr Boyd Nickel,Nickel,1.4609999999999999,million tonnes,14.075,kilotonne,,
J02605,Carson,Copper,1.84,million tonnes,9.384,kilotonne,,
J03034,Cashmere Downs,Iron,1062.4,million tonnes,349.8976,kilotonne,,
J01882,Cawse,Nickel,176.485,million tonnes,1217.8805,kilotonne,,
J00056,Central Norseman,Gold,43.083999999999996,million tonnes,144521.494,kilotonne,4646473.99,ounce (troy)
J05290,Central Sandstone / Aurumin,Gold,22.142,million tonnes,24869.8,kilotonne,799582.6477,ounce (troy)
J01717,Cheritons Find,Gold,0.1,million tonnes,120.0,kilotonne,3858.0896399999997,ounce (troy)
J05196,Chitterberrin,Iron,53.54600000000001,million tonnes,15.694332999999999,kilotonne,,
J01532,Chunderloo,Gold,0.022000000000000002,million tonnes,118.8,kilotonne,3819.5087439999998,ounce (troy)
J02281,Citadel / Antipa,Gold,108.1,million tonnes,76866.0,kilotonne,2471299.319,ounce (troy)
J01137,Clampton,Gold,0.005,million tonnes,27.32,kilotonne,878.358408,ounce (troy)
J01147,Cockatoo Island,Iron,28.0,million tonnes,17.1489,kilotonne,,
J03047,Coglia,Nickel,70.6,million tonnes,449.4,kilotonne,,
J02762,Collurabbie Ni / Rox,Nickel,0.572581,million tonnes,9.33307,kilotonne,,
J02983,Colour Dam,Gold,0.307,million tonnes,521.9,kilotonne,16779.47486,ounce (troy)
J01200,Comet Eclipse and Mountain King,Gold,0.02,million tonnes,50.0,kilotonne,1607.53735,ounce (troy)
J00066,Comet Vale - Sand Queen,Gold,0.7490000000000001,million tonnes,6274.5,kilotonne,201729.8621,ounce (troy)
J00067,Coodardy - Behring Well,Gold,0.151,million tonnes,347.3,kilotonne,11165.95443,ounce (troy)
J02340,Cookes Creek Nickel,Nickel,0.478,million tonnes,4.302,kilotonne,,
J02672,Cookes Hill,Gold,1.5,million tonnes,1770.0,kilotonne,56906.82219,ounce (troy)
J00229,Coolgardie Gold,Gold,5.225,million tonnes,5897.63,kilotonne,189613.21,ounce (troy)
J00014,Coolgardie Gold / Focus,Gold,42.058,million tonnes,80801.53,kilotonne,2597829.548,ounce (troy)
J02731,Copernicus,Nickel,0.5329999999999999,million tonnes,6.849,kilotonne,,
J03390,Copper Range,Copper,0.708,million tonnes,2.6196,kilotonne,,
J00074,Copperhead Dumps,Gold,0.23,million tonnes,460.0,kilotonne,14789.34362,ounce (troy)
J04602,Corinthia / Corinthian Mining,Gold,4.4,million tonnes,9240.0,kilotonne,297072.9023,ounce (troy)
J00075,Cork Tree Well - Delta,Gold,5.6,million tonnes,7960.0,kilotonne,255919.9461,ounce (troy)
J03749,Corkwood Ni-Cu,Nickel,0.225,million tonnes,1.4625,kilotonne,,
J02604,Coronation Dam - Duck Hill ,Nickel,5.7,million tonnes,57.0,kilotonne,,
J02247,Cosmos,Nickel,67.015,million tonnes,661.404,kilotonne,,
J02414,Coyote - Western Tanami,Gold,2.967,million tonnes,15204.8,kilotonne,488845.67799999996,ounce (troy)
J00434,Crawfords,Gold,0.132,million tonnes,241.56,kilotonne,7766.334445,ounce (troy)
