SITE_CODE,SHORT_TITLE,TITLE,SITE_TYPE,SUB_TYPE,STAGE,PROJ_CODE,PROJECT_TITLE,LONGITUDE,LATITUDE,EASTING,NORTHING,MGA_ZONE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,MAP_LABEL_NAME,INCLUDE_COMMODITY_FLAG,MAP_COMMODITIES,ACTIVE_FLAG,SYMBOL,MAP_SERIES,CONFIDENTIALITY,MAP_SHEET_NO_100K,MAP_SHEET_NAME_100K,MAP_SHEET_NO_250K,MAP_SHEET_NAME_250K,LGA_NAME,DEVELOPMENT_REGION,DISTRICT_NO,DISTRICT_NAME,TECTONIC_UNIT,EXTRACT_DATE
S0000012,Baneygo,Baneygo,Mine,Openpit,Operating,J00009,Duketon / Regis Resources,122.3125,-27.963344,432379,6906668,51,Au Ag,Precious metal,GOLD,,N,,Y,,Operating Mine,Public,3342,DUKETON,SG51-14,DUKETON,"LAVERTON, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",38,MT. MARGARET,Eastern Goldfields Superterrane,20221013
S0000030,Golden Crown,Beatons Creek - Golden Crown,Mine,Openpit,Operating,J04143,Beatons Creek JV,120.101598,-21.870333,200460,7578701,51,Au Ag As Cu Bi Sb,Precious metal,GOLD,Beatons Creek,N,,Y,,Operating Mine,Public,2954,NULLAGINE,SF51-05,NULLAGINE,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",46,NULLAGINE,Northeast Pilbara Sub-basin,20221013
S0000033,Big Bell UG,Big Bell Underground,Mine,Decline,Operating,J00017,Cue Gold - Central Murchison,117.655357,-27.318659,564838,6978099,50,Au Ag,Precious metal,GOLD,Big Bell,N,,Y,,Operating Mine,Public,2443,CUE,SG50-15,CUE,"CUE, SHIRE OF","MID-WEST, Development Region",20,CUE,Youanmi Terrane,20221013
S0000045,Aladdin,Aladdin Open Pit,Mine,Openpit,Operating,J00017,Cue Gold - Central Murchison,118.347188,-26.86947,633823,7027311,50,Au Ag,Precious metal,GOLD,Aladdin,N,,Y,,Operating Mine,Public,2544,MEEKATHARRA,SG50-11,BELELE,"MEEKATHARRA, SHIRE OF","MID-WEST, Development Region",51,MEEKATHARRA,Youanmi Terrane,20221013
S0000046,Bluebird,Bluebird - Bluebird South,Mine,Openpit,Operating,J00017,Cue Gold - Central Murchison,118.425102,-26.716249,641754,7044200,50,Au Ag,Precious metal,GOLD,,N,,,,,Public,2544,MEEKATHARRA,SG50-11,BELELE,"MEEKATHARRA, SHIRE OF","MID-WEST, Development Region",51,MEEKATHARRA,Youanmi Terrane,20221013
S0000049,Five Mile Well,Five Mile Well,Mine,Openpit,Operating,J00017,Cue Gold - Central Murchison,118.54088,-26.529259,653521,7064780,50,Au Ag,Precious metal,GOLD,Five Mile Well,N,,Y,,Operating Mine,Public,2644,GABANINTHA,SG50-12,GLENGARRY,"MEEKATHARRA, SHIRE OF","MID-WEST, Development Region",51,MEEKATHARRA,Youanmi Terrane,20221013
S0000053,Southern Stockworks,Boorara Open Pit - Southern Stockworks,Mine,Openpit,Operating,J02851,Boorara / Horizon,121.644084,-30.809293,370293,6590747,51,Au Ag,Precious metal,GOLD,Boorara,N,,Y,,Operating Mine,Public,3236,KANOWNA,SH51-10,KURNALPI,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",26,EAST COOLGARDIE,Eastern Goldfields Superterrane,20221013
S0000138,Cosmopolitan,Cosmopolitan Tailings,Mine,Tailings storage facility,Operating,J05659,Kookynie / Nex Metals,121.4954,-29.337562,353922,6753675,51,Au,Precious metal,GOLD,,N,,,,,Public,3139,MELITA,SH51-05,MENZIES,"MENZIES, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",40,NIAGARA,Eastern Goldfields Superterrane,20221013
S0000181,Morrison,Morrison,Mine,Openpit,Operating,J00102,Golden Mile / KCGM,121.508466,-30.789484,357289,6592777,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,3236,KANOWNA,SH51-10,KURNALPI,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",26,EAST COOLGARDIE,Eastern Goldfields Superterrane,20221013
S0000198,Yarlarweelor,Yarlarweelor North & South,Mine,Openpit,Operating,J00109,Fortnum,118.360354,-25.343679,636897,7196301,50,Au Ag,Precious metal,GOLD,Yarlarweelor,N,,Y,,Operating Mine,Public,2547,MILGUN,SG50-07,ROBINSON RANGE,"MEEKATHARRA, SHIRE OF","MID-WEST, Development Region",52,PEAK HILL M.F.,Bryah Basin,20221013
