PROJ_CODE,PROJ_NAME,PROJ_SHORT,PRI_P_COM,LOC_SITE,LATITUDE,LONGITUDE,TECT_UNIT,EST_COM,EST_COM_AB,EST_COM_P,RES_QTY,RES_QTY_U,RES_QTY_G,RES_QTY_GU,RES_CON,RES_CON_U,ARES_CON,ARES_CON_U,RV_QTY,RV_QTY_U,RV_QTY_G,RV_QTY_GU,RV_CON,RV_CON_U,ARV_CON,ARV_CON_U,POINT_SIZE,POINT_UNIT,PROJ_URL,EXTRACT_DA
J05288,8 Mile Dam,8 Mile Dam,Gold,S0236141,-30.645301,121.462207,Eastern Goldfields Superterrane,Gold,Au,Yes,7.014346,million tonnes,1.392,gram/tonne,9763.969632,kilogram,313918.9174,ounce (troy),,,,,,,,,9763.969632,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/5b8675fc-712e-40fa-bbe3-1232939d7bbd,19/10/2022
J01022,Abednego West,Abednego West,Gold,S0002219,-28.833361,121.773903,Eastern Goldfields Superterrane,Gold,Au,Yes,0.07,million tonnes,2.1,gram/tonne,147,kilogram,4726.159809,ounce (troy),,,,,,,,,147,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/55b018f0-81a3-4ae6-900b-0049fdfd0a72,19/10/2022
J00545,Abra - Mulgul,Abra - Mulgul,Lead,S0001538,-24.638213,118.585512,Edmund Basin,Lead,Pb,Yes,34.4,million tonnes,7.19651163,percent,2475.6,kilotonne,,,10.3,million tonnes,8.8,percent,906.4,kilotonne,,,3382,kilotonne,https://minedex.dmirs.wa.gov.au/Web/projects/details/df5d5bb9-50de-409a-bc32-f7cedd372672,19/10/2022
J00545,Abra - Mulgul,Abra - Mulgul,Lead,S0001538,-24.638213,118.585512,Edmund Basin,Silver,Ag,No,34.4,million tonnes,15.98255814,gram/tonne,549800,kilogram,17676480.7,ounce (troy),10.3,million tonnes,24,gram/tonne,247200,kilogram,7947664.658,ounce (troy),797000,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/df5d5bb9-50de-409a-bc32-f7cedd372672,19/10/2022
J03432,Abydos,Abydos,Iron,S0023261,-21.14382,119.105797,Gorge Creek Basin,Iron,Fe,Yes,15.5,million tonnes,56.98387097,percent,8.8325,million tonnes,,,3.9,million tonnes,56.86923077,percent,2.2179,million tonnes,,,11.0504,million tonnes,https://minedex.dmirs.wa.gov.au/Web/projects/details/be7ccc33-0ffc-44d7-88d7-3fadd7936987,19/10/2022
J00744,Admiral Bay,Admiral Bay,Zinc,S0001551,-19.222219,122.321701,Willara Sub-basin,Barium,Ba,No,170,million tonnes,10,percent,17000,kilotonne,,,,,,,,,,,17000,kilotonne,https://minedex.dmirs.wa.gov.au/Web/projects/details/c4488f25-351e-4d48-b208-5c2bd0f382dd,19/10/2022
J00744,Admiral Bay,Admiral Bay,Zinc,S0001551,-19.222219,122.321701,Willara Sub-basin,Lead,Pb,No,170,million tonnes,2.7,percent,4590,kilotonne,,,,,,,,,,,4590,kilotonne,https://minedex.dmirs.wa.gov.au/Web/projects/details/c4488f25-351e-4d48-b208-5c2bd0f382dd,19/10/2022
J00744,Admiral Bay,Admiral Bay,Zinc,S0001551,-19.222219,122.321701,Willara Sub-basin,Silver,Ag,No,170,million tonnes,25,gram/tonne,4250000,kilogram,136640674.8,ounce (troy),,,,,,,,,4250000,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/c4488f25-351e-4d48-b208-5c2bd0f382dd,19/10/2022
J00744,Admiral Bay,Admiral Bay,Zinc,S0001551,-19.222219,122.321701,Willara Sub-basin,Zinc,Zn,Yes,170,million tonnes,4.1,percent,6970,kilotonne,,,,,,,,,,,6970,kilotonne,https://minedex.dmirs.wa.gov.au/Web/projects/details/c4488f25-351e-4d48-b208-5c2bd0f382dd,19/10/2022
J00098,Agnew - Emu,Agnew - Emu,Gold,S0019084,-28.004499,120.505798,Yilgarn Craton,Gold,Au,Yes,19.879,million tonnes,5.34209266,gram/tonne,106195.46,kilogram,3414263.367,ounce (troy),5.139,million tonnes,6.13357852,gram/tonne,31520.46,kilogram,1013406.335,ounce (troy),137715.92,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/7354e345-ca95-44ad-a82c-17e812f2cb91,19/10/2022
